term	estimate	std.error	statistic	p.value	conf.low	conf.high	variable	lvl	index	dataset	test_var	ref_level	outcome_subset
symtomduration_diare_catYes	-3.3714832565294084	2.1482577428693967	-1.569403516742906	0.11686197622806976	-7.586959084743192	0.8439925716843759	symtomduration_diare_cat	Yes	invsimpson	metaphlan	symtomduration_diare_cat	No	all
symtomduration_diare_catYes	-18.60772283298751	10.826862191692795	-1.7186625731012621	0.08597719950568718	-39.8530208033891	2.6375751374140783	symtomduration_diare_cat	Yes	observed	metaphlan	symtomduration_diare_cat	No	all
symtomduration_diare_catYes	-0.11628682293090471	0.06658800085928981	-1.7463630298292898	0.08104686226072955	-0.24695089664511732	0.014377250783307913	symtomduration_diare_cat	Yes	shannon	metaphlan	symtomduration_diare_cat	No	all
symtomduration_diare_catYes	-60.77478460564777	36.24128569150876	-1.6769489118838614	0.0942579002355336	-132.00099420650986	10.451424995214325	symtomduration_diare_cat	Yes	invsimpson	ko_hum	symtomduration_diare_cat	No	negative
symtomduration_diare_catYes	-193.33607486061106	122.55093787403607	-1.5775976766439068	0.11537184526371495	-434.189527525053	47.5173778038309	symtomduration_diare_cat	Yes	observed	ko_hum	symtomduration_diare_cat	No	negative
symtomduration_diare_catYes	-0.08614142624523162	0.04348402901855208	-1.9809899907959343	0.0482103666066438	-0.17160204128878198	-6.808112016812584e-4	symtomduration_diare_cat	Yes	shannon	ko_hum	symtomduration_diare_cat	No	negative
symtomduration_diare_catYes	-5.299723189099479	3.025866364763358	-1.7514729833463585	0.08055648252830971	-11.246559450797822	0.6471130725988639	symtomduration_diare_cat	Yes	invsimpson	mags	symtomduration_diare_cat	No	negative
symtomduration_diare_catYes	-24.92991481702086	11.459403221489678	-2.1754985259852013	0.030120785787642112	-47.45146283003338	-2.4083668040083417	symtomduration_diare_cat	Yes	observed	mags	symtomduration_diare_cat	No	negative
symtomduration_diare_catYes	-0.1863547855364289	0.09305405197958941	-2.002650949335384	0.04582366855289627	-0.3692370228534303	-0.003472548219427496	symtomduration_diare_cat	Yes	shannon	mags	symtomduration_diare_cat	No	negative
symtomduration_diare_catYes	-5.181093786410831	2.883247684847465	-1.796964518046576	0.07302227252341598	-10.84763679154108	0.4854492187194168	symtomduration_diare_cat	Yes	invsimpson	metaphlan	symtomduration_diare_cat	No	negative
symtomduration_diare_catYes	-29.0455325475429	15.17140782320962	-1.9144915808741414	0.056201220853136	-58.86240722341208	0.7713421283262782	symtomduration_diare_cat	Yes	observed	metaphlan	symtomduration_diare_cat	No	negative
symtomduration_diare_catYes	-0.1857798207482396	0.09413699174371026	-1.973504966613217	0.049059094476262236	-0.37079039576498357	-7.692457314956158e-4	symtomduration_diare_cat	Yes	shannon	metaphlan	symtomduration_diare_cat	No	negative
symtomduration_diare_catYes	-57.63486565209408	38.60343742586925	-1.492998279305338	0.1359842177133131	-133.45525420492956	18.185522900741404	symtomduration_diare_cat	Yes	invsimpson	ko_hum	symtomduration_diare_cat	No	positive
symtomduration_diare_catYes	-67.31709034795111	133.07612008073846	-0.5058540202938682	0.6131523283416462	-328.6897505158736	194.05556981997134	symtomduration_diare_cat	Yes	observed	ko_hum	symtomduration_diare_cat	No	positive
symtomduration_diare_catYes	-0.048085105625010366	0.04594889660821825	-1.0464909752894924	0.2957725893710561	-0.13833259203342374	0.04216238078340302	symtomduration_diare_cat	Yes	shannon	ko_hum	symtomduration_diare_cat	No	positive
symtomduration_diare_catYes	-0.42779485896365166	3.4330234878556674	-0.12461169009678422	0.9008743729870932	-7.170540897061216	6.314951179133913	symtomduration_diare_cat	Yes	invsimpson	mags	symtomduration_diare_cat	No	positive
symtomduration_diare_catYes	-2.338028986929129	12.282736805013274	-0.19035081708946563	0.8491011854328127	-26.462354154517474	21.786296180659217	symtomduration_diare_cat	Yes	observed	mags	symtomduration_diare_cat	No	positive
symtomduration_diare_catYes	-0.018602796955600062	0.09665654169158223	-0.1924628859054262	0.8474473556398683	-0.20844435086649732	0.17123875695529722	symtomduration_diare_cat	Yes	shannon	mags	symtomduration_diare_cat	No	positive
symtomduration_diare_catYes	-0.4166157065148732	3.2833456848552394	-0.12688755510470762	0.8990736013061787	-6.865381986902516	6.032150573872769	symtomduration_diare_cat	Yes	invsimpson	metaphlan	symtomduration_diare_cat	No	positive
symtomduration_diare_catYes	-6.986368062094598	15.907083901185475	-0.4391985423282981	0.6606821070329727	-38.2292148797256	24.256478755536406	symtomduration_diare_cat	Yes	observed	metaphlan	symtomduration_diare_cat	No	positive
symtomduration_diare_catYes	-0.008391365315526386	0.09683209310827069	-0.08665892728502485	0.9309726884481477	-0.19857771693128817	0.18179498630023538	symtomduration_diare_cat	Yes	shannon	metaphlan	symtomduration_diare_cat	No	positive
symtomduration_luftplager_catYes	11.104249217571164	23.711879084269817	0.46829899807213476	0.6396701558937312	-35.425015463563646	57.63351389870598	symtomduration_luftplager_cat	Yes	invsimpson	ko_hum	symtomduration_luftplager_cat	No	all
symtomduration_luftplager_catYes	-47.56838193451802	81.13477092901688	-0.5862884850705329	0.5578104993487532	-206.77724167874018	111.64047780970415	symtomduration_luftplager_cat	Yes	observed	ko_hum	symtomduration_luftplager_cat	No	all
symtomduration_luftplager_catYes	-0.0022583672522942066	0.028295443188853502	-0.07981381444429367	0.9364008862751079	-0.057781852368139465	0.05326511786355106	symtomduration_luftplager_cat	Yes	shannon	ko_hum	symtomduration_luftplager_cat	No	all
symtomduration_luftplager_catYes	2.100590698495184	2.040274072235107	1.0295630018931723	0.3034575981368552	-1.902991303239176	6.104172700229544	symtomduration_luftplager_cat	Yes	invsimpson	mags	symtomduration_luftplager_cat	No	all
symtomduration_luftplager_catYes	3.8086872127781852	7.508742892071241	0.5072336698064225	0.6120997703436797	-10.925543010230356	18.542917435786727	symtomduration_luftplager_cat	Yes	observed	mags	symtomduration_luftplager_cat	No	all
symtomduration_luftplager_catYes	0.038338528951936256	0.06004396276781647	0.6385076398136348	0.5232856395381258	-0.07948433216333115	0.15616139006720364	symtomduration_luftplager_cat	Yes	shannon	mags	symtomduration_luftplager_cat	No	all
symtomduration_luftplager_catYes	1.4146155605410944	1.9496705597951507	0.7255664570786391	0.4682698891646797	-2.411177291865329	5.240408412947518	symtomduration_luftplager_cat	Yes	invsimpson	metaphlan	symtomduration_luftplager_cat	No	all
symtomduration_luftplager_catYes	5.585674499760027	9.829331151175166	0.5682659800399766	0.5699785992773128	-13.702191685208607	24.873540684728663	symtomduration_luftplager_cat	Yes	observed	metaphlan	symtomduration_luftplager_cat	No	all
symtomduration_luftplager_catYes	0.03315838372102514	0.06045639446514306	0.5484677677915948	0.5834899582546944	-0.0854737824492992	0.1517905498913495	symtomduration_luftplager_cat	Yes	shannon	metaphlan	symtomduration_luftplager_cat	No	all
symtomduration_luftplager_catYes	-23.97782999278536	36.60526051501466	-0.655037818483772	0.5127833809542715	-95.91937147478275	47.96371148921203	symtomduration_luftplager_cat	Yes	invsimpson	ko_hum	symtomduration_luftplager_cat	No	negative
symtomduration_luftplager_catYes	-150.14697666080662	123.59103319684907	-1.2148694996477671	0.22506299199531307	-393.0445634130443	92.75061009143104	symtomduration_luftplager_cat	Yes	observed	ko_hum	symtomduration_luftplager_cat	No	negative
symtomduration_luftplager_catYes	-0.033424403828207834	0.043968115964427464	-0.7601964081256051	0.44754157566645414	-0.11983641111996532	0.05298760346354966	symtomduration_luftplager_cat	Yes	shannon	ko_hum	symtomduration_luftplager_cat	No	negative
symtomduration_luftplager_catYes	5.2679934755875735	3.0483532920681005	1.728144007879611	0.08465925036509242	-0.7230370956372161	11.259024046812364	symtomduration_luftplager_cat	Yes	invsimpson	mags	symtomduration_luftplager_cat	No	negative
symtomduration_luftplager_catYes	4.254471959084267	11.603252299266009	0.3666620227979869	0.714046200652472	-18.549787452519396	27.05873137068793	symtomduration_luftplager_cat	Yes	observed	mags	symtomduration_luftplager_cat	No	negative
symtomduration_luftplager_catYes	0.10070943933078214	0.09403876581399222	1.0709353579776286	0.28478160525146673	-0.08410808898453162	0.28552696764609586	symtomduration_luftplager_cat	Yes	shannon	mags	symtomduration_luftplager_cat	No	negative
symtomduration_luftplager_catYes	3.6291341495650142	2.9098724227666484	1.247179814884979	0.21299051581585174	-2.089735342537635	9.348003641667663	symtomduration_luftplager_cat	Yes	invsimpson	metaphlan	symtomduration_luftplager_cat	No	negative
symtomduration_luftplager_catYes	11.15760521809302	15.336698168777035	0.7275102564649832	0.4672977419050798	-18.984120096315785	41.29933053250183	symtomduration_luftplager_cat	Yes	observed	metaphlan	symtomduration_luftplager_cat	No	negative
symtomduration_luftplager_catYes	0.06643933272491817	0.09519156077086686	0.6979540222566848	0.4855721227706742	-0.1206438220343384	0.2535224874841747	symtomduration_luftplager_cat	Yes	shannon	metaphlan	symtomduration_luftplager_cat	No	negative
symtomduration_luftplager_catYes	39.69728825920655	31.080574857677018	1.2772379031271737	0.20203197247891228	-21.347567310452547	100.74214382886565	symtomduration_luftplager_cat	Yes	invsimpson	ko_hum	symtomduration_luftplager_cat	No	positive
