primary_model	add_var	no_m	secondary_alg	predictor	sensitivities	specificities	thresholds	var_cat
rf_mphl	fit	FALSE	log_reg	primary_pred	0.4051724137931034	0.6888888888888889	0.5812829365079366	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.39655172413793105	0.6888888888888889	0.5819878968253969	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.3879310344827586	0.6888888888888889	0.5826880952380953	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.3793103448275862	0.6888888888888889	0.5827952380952379	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.3706896551724138	0.6888888888888889	0.5829801587301586	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.3620689655172414	0.6888888888888889	0.5831091269841269	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.35344827586206895	0.6888888888888889	0.5854521825396825	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.35344827586206895	0.7	0.5881797619047617	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.3448275862068966	0.7	0.5889531746031745	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.3448275862068966	0.7111111111111111	0.5901587301587303	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.33620689655172414	0.7111111111111111	0.5910613095238095	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.3275862068965517	0.7111111111111111	0.5917121031746031	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.31896551724137934	0.7111111111111111	0.5925511904761904	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.31896551724137934	0.7222222222222222	0.5929825396825398	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.3103448275862069	0.7222222222222222	0.5931823412698416	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.3017241379310345	0.7222222222222222	0.5935428571428571	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.3017241379310345	0.7333333333333333	0.5943714285714284	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.29310344827586204	0.7333333333333333	0.5950613095238095	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.29310344827586204	0.7444444444444445	0.5957255952380955	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.28448275862068967	0.7444444444444445	0.5975632936507937	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.27586206896551724	0.7444444444444445	0.5990311507936508	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.27586206896551724	0.7555555555555555	0.5997751984126983	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.2672413793103448	0.7555555555555555	0.6007621031746031	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.25862068965517243	0.7555555555555555	0.601547619047619	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.25862068965517243	0.7666666666666667	0.602268650793651	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.25	0.7666666666666667	0.6031567460317462	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.2413793103448276	0.7666666666666667	0.6048650793650794	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.2413793103448276	0.7777777777777778	0.6061740079365079	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.23275862068965517	0.7777777777777778	0.6064041666666666	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.23275862068965517	0.7888888888888889	0.6064523809523811	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.22413793103448276	0.7888888888888889	0.6067285714285713	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.21551724137931033	0.7888888888888889	0.6073738095238093	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.21551724137931033	0.8	0.6081559523809521	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.21551724137931033	0.8111111111111111	0.6090355158730159	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.21551724137931033	0.8222222222222222	0.6112710317460319	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.21551724137931033	0.8333333333333334	0.6131450396825397	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.20689655172413793	0.8333333333333334	0.6135396825396826	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.19827586206896552	0.8333333333333334	0.6140186507936509	roc
