dataset	alg	predictor	rep	fold	auroc	sensitivity	specificity	selection	included_in_training	primary_model
hum-kegg	rf	primary_prob	Repeat19	Fold1	0.5881573133009279	0.6021505376344086	0.5616438356164384	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat19	Fold2	0.5799267399267399	0.7582417582417582	0.30666666666666664	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat19	Fold3	0.596577380952381	0.75	0.38571428571428573	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat19	Fold4	0.5513698630136986	0.8369565217391305	0.1780821917808219	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat19	Fold5	0.5283816425120773	0.7291666666666666	0.30434782608695654	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat20	Fold1	0.5637485311398355	0.5760869565217391	0.4864864864864865	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat20	Fold2	0.580015612802498	0.8285714285714286	0.2786885245901639	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat20	Fold3	0.6078947368421053	0.8777777777777778	0.25	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat20	Fold4	0.5122962962962962	0.8222222222222222	0.17333333333333334	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat20	Fold5	0.5461835461835461	0.6813186813186813	0.35135135135135137	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat01	Fold1	0.6594059405940594	0.801980198019802	0.47692307692307695	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat01	Fold2	0.6013081395348837	0.7674418604651163	0.35	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat01	Fold3	0.4856678486997636	0.851063829787234	0.125	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat01	Fold4	0.5551075268817204	0.7311827956989247	0.2777777777777778	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat01	Fold5	0.5067425831585256	0.8191489361702128	0.19718309859154928	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat02	Fold1	0.5712209302325582	0.7325581395348837	0.375	all	all	rf_hum-kegg
