primary_alg	primary_dataset	sec_add_var	sec_alg	predictor	rep	fold	auroc	sensitivity	specificity	selection	primary_model	secondary_model
rf	mags	fit	log_reg	FIT_value	Repeat12	Fold4	0.5960530373111317	0.7659574468085106	0.37681159420289856	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat12	Fold5	0.5589539007092199	0.9148936170212766	0.18055555555555555	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat13	Fold1	0.624860646599777	0.5	0.6231884057971014	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat13	Fold2	0.5156521739130435	0.6086956521739131	0.4266666666666667	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat13	Fold3	0.5823161189358372	0.6666666666666666	0.4788732394366197	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat13	Fold4	0.6481481481481481	0.3902439024390244	0.7901234567901234	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat13	Fold5	0.6532451923076923	0.9423076923076923	0.28125	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat14	Fold1	0.608133584702397	0.7659574468085106	0.25316455696202533	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat14	Fold2	0.6326631509558339	0.6829268292682927	0.4864864864864865	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat14	Fold3	0.6274703557312253	0.3695652173913043	0.7272727272727273	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat14	Fold4	0.6184503901895206	0.6153846153846154	0.5217391304347826	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat14	Fold5	0.5136111111111111	0.28	0.7638888888888888	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat15	Fold1	0.5809178743961353	0.3888888888888889	0.7536231884057971	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat15	Fold2	0.6819866567828021	0.2631578947368421	0.8732394366197183	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat15	Fold3	0.5208219178082192	0.88	0.1506849315068493	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat15	Fold4	0.6015988372093023	0.7441860465116279	0.3625	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat15	Fold5	0.6438396254023997	0.6862745098039216	0.5074626865671642	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat16	Fold1	0.604757085020243	0.5789473684210527	0.5	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat16	Fold2	0.6713305898491083	0.4666666666666667	0.8518518518518519	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat16	Fold3	0.551495528831329	0.7659574468085106	0.42028985507246375	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat16	Fold4	0.6378582202111613	0.39215686274509803	0.7076923076923077	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat16	Fold5	0.5440976933514247	0.6545454545454545	0.3582089552238806	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat17	Fold1	0.6092331768388106	0.4666666666666667	0.704225352112676	all	rf_mags	log_reg_mags_fit
