Model	Resid. df	Resid. Dev	Test	   Df	LR stat.	Pr(Chi)	var_id	model_complexity
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	Snus	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2229.1251793552765	1 vs 2	6	4.513161226349894	0.6075842601368288	Snus	standard_model
senter + age_invitation + kjonn	3033	2490.0579351149772		NA	NA	NA	Tarmkreft_Familie	host_assoc_model
value + senter + age_invitation + kjonn	3027	2487.9805634937916	1 vs 2	6	2.077371621185648	0.9124468958195261	Tarmkreft_Familie	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	Tarmkreft_Familie	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2231.1766644895056	1 vs 2	6	2.461676092120797	0.872731824089373	Tarmkreft_Familie	standard_model
senter + age_invitation + kjonn	3033	2490.0579351149772		NA	NA	NA	Utdanning	host_assoc_model
value + senter + age_invitation + kjonn	3024	2478.4424107392256	1 vs 2	9	11.615524375751647	0.23586191811609036	Utdanning	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2763	2239.978414903855		NA	NA	NA	Utdanning	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816287	1 vs 2	9	6.340074322226428	0.7054585228314378	Utdanning	standard_model
senter + kjonn	3093	2541.391356014836		NA	NA	NA	age_invitation	host_assoc_model
value + senter + kjonn	3087	2531.148559034541	1 vs 2	6	10.242796980295225	0.1147926918394524	age_invitation	host_assoc_model
senter + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2757	2241.2046923199546		NA	NA	NA	age_invitation	standard_model
value + senter + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2751	2231.807219355292	1 vs 2	6	9.397472964662484	0.15242739076042477	age_invitation	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	antibiotics_reg_quest_comb	host_assoc_model
value + senter + age_invitation + kjonn	3087	2525.4456738527288	1 vs 2	3	6.249789915428664	0.1000700395892955	antibiotics_reg_quest_comb	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD	2757	2240.5055178964817		NA	NA	NA	antibiotics_reg_quest_comb	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD	2754	2233.6383405816273	1 vs 2	3	6.867177314854416	0.07625396273473195	antibiotics_reg_quest_comb	standard_model
senter + age_invitation + kjonn	3033	2490.0579351149772		NA	NA	NA	bowel_disorder_merged_2	host_assoc_model
value + senter + age_invitation + kjonn	3027	2473.1483815211036	1 vs 2	6	16.909553593873625	0.009621459487442974	bowel_disorder_merged_2	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	bowel_disorder_merged_2	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2218.4641700677757	1 vs 2	6	15.17417051385064	0.018944467759847483	bowel_disorder_merged_2	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	colo_IBD	host_assoc_model
value + senter + age_invitation + kjonn	3087	2528.751361752245	1 vs 2	3	2.944102015912449	0.4003240832586721	colo_IBD	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + antibiotics_reg_quest_comb	2757	2240.903237337785		NA	NA	NA	colo_IBD	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + antibiotics_reg_quest_comb	2754	2233.6383405816305	1 vs 2	3	7.264896756154485	0.06391715143008314	colo_IBD	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	colo_diverticulitis	host_assoc_model
value + senter + age_invitation + kjonn	3087	2526.9681286580085	1 vs 2	3	4.7273351101489425	0.19288697005440714	colo_diverticulitis	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	colo_diverticulitis	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2751	2231.021545414791	1 vs 2	3	2.6167951668353453	0.4545527422613984	colo_diverticulitis	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	colo_hemorrhoids	host_assoc_model
value + senter + age_invitation + kjonn	3087	2521.265198684313	1 vs 2	3	10.43026508384446	0.015241488164327466	colo_hemorrhoids	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_IBD + antibiotics_reg_quest_comb	2757	2242.2188103244835		NA	NA	NA	colo_hemorrhoids	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_IBD + antibiotics_reg_quest_comb	2754	2233.638340581631	1 vs 2	3	8.580469742852529	0.035421485158911414	colo_hemorrhoids	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	detect_worthy_lesions	host_assoc_model
value + senter + age_invitation + kjonn	3087	2521.300744198279	1 vs 2	3	10.394719569878362	0.015492348960506552	detect_worthy_lesions	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	detect_worthy_lesions	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2751	2221.1869759697465	1 vs 2	3	12.451364611879853	0.005986582004186114	detect_worthy_lesions	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	final_result	host_assoc_model
value + senter + age_invitation + kjonn	3072	2502.756155557177	1 vs 2	18	28.93930821098047	0.04912587029042215	final_result	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	final_result	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2736	2209.5575912615595	1 vs 2	18	24.080749320066843	0.15240006301287468	final_result	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	final_result_cat_neg	host_assoc_model
value + senter + age_invitation + kjonn	3078	2514.4356231298416	1 vs 2	12	17.259840638315836	0.14008163228090809	final_result_cat_neg	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	final_result_cat_neg	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2742	2214.8703666950178	1 vs 2	12	18.767973886608615	0.09428389024029027	final_result_cat_neg	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	first_round	host_assoc_model
value + senter + age_invitation + kjonn	3087	2527.62775504562	1 vs 2	3	4.067708722537645	0.25424502043528263	first_round	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	first_round	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2751	2230.60279952163	1 vs 2	3	3.035541059996376	0.38617783851565557	first_round	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	fobt_verdi	host_assoc_model
value + senter + age_invitation + kjonn	3084	2530.0213715472933	1 vs 2	6	1.6740922208641678	0.9471038170136475	fobt_verdi	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	fobt_verdi	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2231.0688783283786	1 vs 2	6	2.5694622532478206	0.86061417132413	fobt_verdi	standard_model
senter + age_invitation	3093	2548.4297423187595		NA	NA	NA	kjonn	host_assoc_model
value + senter + age_invitation	3090	2531.695463768156	1 vs 2	3	16.73427855060345	8.014718441956559e-4	kjonn	host_assoc_model
