feature	metadata	value	coef	stderr	pval	name	qval	N	N.not.zero	model	dataset	strat	outcome
SGB6317	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.0914187408652624	0.1620743759697844	0.5728552837959109	sum_lesion_diameter_proximal	0.8396723428983025	1034	224	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB9205	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.05414404087043782	0.09610571676991701	0.5733140182918237	sum_lesion_diameter_proximal	0.8396723428983025	1034	128	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB4327	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.08778234808141785	0.15495240111738684	0.5711847555954728	sum_lesion_diameter_proximal	0.8396723428983025	1034	192	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB14941	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.08067149401325965	0.14353577670306916	0.5742326890153204	sum_lesion_diameter_proximal	0.8399303979577536	1034	547	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB17237	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.06446197691582867	0.11556563179502116	0.5771204005484005	sum_lesion_diameter_proximal	0.8399303979577536	1034	192	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB63327	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.06786323799306415	0.12123575768434909	0.5757782552843065	sum_lesion_diameter_proximal	0.8399303979577536	1034	512	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB63163	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.04538252732976689	0.08128180018637517	0.5767516451893695	sum_lesion_diameter_proximal	0.8399303979577536	1034	131	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB9202	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.03433407760907621	0.06173864428449653	0.5782648295322174	sum_lesion_diameter_proximal	0.8401816658199807	1034	120	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB4628	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.04915808824837176	0.0885928442827367	0.579114591823631	sum_lesion_diameter_proximal	0.8407269330991933	1034	136	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB17244_group	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.10149931984940007	0.18326694767362528	0.5798281714057352	sum_lesion_diameter_proximal	0.8412182451030228	1034	652	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB1784	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.07446273432031168	0.13462201950911368	0.5803131407629499	sum_lesion_diameter_proximal	0.8412714166195178	1034	401	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB4770	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.07142876050977984	0.12914454915611126	0.580335669207735	sum_lesion_diameter_proximal	0.8412714166195178	1034	429	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
